OBJECTID,DescSeg,TipoPNV,CODIGO
4750,ENTR. BR-251/GO-080/230/338 (GOIANESIA) - STA. RITA NOVO DESTINO,Pavimentada,438EGO0010
4751,ENTR. BR-251(B)/GO.480 - ENTR. BR-153(A)(RIANAPOLIS),Em obras de pavimentação,230EGO0160
4752,GOIANÉSIA - ENTR GO-080/338 (GOIANÉSIA),Duplicada,251BGO0830
4753,ENTR. GO.139 - ENTR. BR-414(CORUMBA DE GOIAS),Leito Natural,225EGO0030
4754,ACESSO P/OLHO D`AGUA - ENTR. GO.225,Leito Natural,139EGO0170
4755,ENTR GO-230(B)/480(A) - ENTR GO-483 (SANTA ISABEL),Leito Natural,251BGO0845
4756,ENTR. BR-251(B) - ENTR. GO-477,Leito Natural,435EGO0020
4757,ENTR. GO-477 - ENTR. BR-080/ GO-230/242 (PADRE BERNARDO),Leito Natural,435EGO0030
4758,ENTR GO-230(A)/435 (PADRE BERNARDO) - ENTR BR-414/GO-230(B) (ASSUNÇÃO DE GOIAS),Pavimentada,080BGO0110
4759,,,GO4774759
4760,ENTR BR-251(B) - ENTR GO-230(A)/435 (PADRE BERNARDO),Pavimentada,080BGO0095
4761,ENTR. DF-220 - ENTR. DF-170,Leito Natural,001DDF0570
4762,ENTR. DF-003 - ENTR. BR-251/DF-001/480,Duplicada,065DDF0010
4763,,,GO3384763
4764,ENTR. BR-414 (CORUMBÁ DE GOIÁS) - ENTR. GO-338/431 (PIREN?POLIS),Pavimentada,225EGO0050
4765,LAGOLANDIA - ENTR. GO-473,Leito Natural,479EGO0030
4766,ENTR. GO-338 - LAGOLANDIA,Leito Natural,479EGO0010
4767,ENTR BR-070 - ENTR GO-080(B) (P/SAO FRANCISCO DE GOIÁS),Pavimentada,153BGO0530
4768,ENTR. BR-070 - ENTR. GO-479,Pavimentada,338EGO0060
4769,ENTR GO-338 - ENTR BR-153,Em obras de pavimentação,070BGO0090
4770,ENTR GO-080(A) - ENTR GO-080(B) (BARRO ALTO),Pavimentada,080BGO0135
4771,ENTR. GO-479 - ENTR. BR-251 (VILA PROPICIO),Leito Natural,473EGO0030
4772,ENTR DF-065 (EPIP) - ENTR BR-040/050/251/DF-003(B),Duplicada,450BDF0250
4773,ENTR. VC - 361 ENTR. BR - 251 / DF - 001 / 065,Duplicada,480DDF0030
4774,ENTR. GO-542 (PONTE BRANCA) - ENTR. GO-221,Leito Natural,194EGO0070
4775,ENTR. BR-158 (A)/GO-188 (A) - ENTR. BR-158 (B)/GO-188 (B) (PIRANHAS),Pavimentada,060EGO0270
4776,Ac.Caiaponia 2,,AC4776
4777,Ac.Caiaponia 1,,AC4777
4778,ENTR. GO-060(B) - DIORAMA,Pavimentada,174EGO0330
4779,ENTR. GO-465 (DOVERLANDIA) - ENTR. GO-461,Leito Natural,221EGO0100
4780,ENTR. GO-461 - ENTR. GO-194,Leito Natural,221EGO0110
4781,ENTR. BR-158(B)/GO-060(B) - ENTR. GO-475,Leito Natural,188EGO0050
4782,ENTR. GO-060 - ENTR. GO-188,Leito Natural,475EGO0010
4783,ENTR. GO-475 - ENTR. GO-471 (AREN?POLIS),Pavimentada,060EGO0245
4784,ENTR. GO-174 (B) - ENTR. GO-475,Pavimentada,060EGO0240
4785,ENTR. GO-174 (A)/GO-221/320 (IPORÁ) - ENTR. GO-174 (B),Pavimentada,060EGO0230
4786,ENTR. GO-444 (IVOLANDIA) - ENTR. GO-060/174/221 (IPORA),Implantada,320EGO0260
4787,ENTR. GO-194 - ENTR. BR-158 (BOM JARDIM DE GOIÁS),Pavimentada,421EGO0010
4788,ENTR. GO-421 - ENTR. BR-070/158 (ARAGARCAS),Leito Natural,194EGO0130
4789,ENTR. GO-472 - ENTR. BR-158 (A)/GO-188 (A),Pavimentada,060EGO0260
4790,ENTR. GO-471 (AREN?POLIS) - ENTR. GO-472,Pavimentada,060EGO0250
4791,ENTR. BR-158 - ENTR. GO-060,Leito Natural,472EGO0010
4792,ENTR. GO-221 - ENTR. BR-158(A)/GO-060(A) (PIRANHAS),Leito Natural,188EGO0010
4793,,Pavimentada,221EGO0070
4794,ENTR. GO-188 - ENTR. GO-465 (DOVERLANDIA),Pavimentada,221EGO0090
4795,ENTR. BR-158 (P/CAIAPONIA) - ENTR. GO-188,Pavimentada,221EGO0050
4796,ENTR. GO-542 - ENTR. GO-194(A)/541,Leito Natural,461EGO0030
4797,KM-18 - ENTR. GO-461 (A)/541,Pavimentada,194EGO0035
4798,ENTR. BR-364 - ENTR. GO-220 (PORTELÂNDIA),Pavimentada,194EGO0010
4799,ENTR. GO-341 - ENTR. GO-194 (PORTELANDIA),Leito Natural,220EGO0130
4800,ENTR BR-364/GO-341(A) (MINEIROS) - ENTR GO-306,Pavimentada,359BGO0010
4801,ENTR VICINAL-541 BRAZLÂNDIA - FIM TRECHO DUPLICAÇÃO,Duplicada,251BDF0716
4802,ENTR. GO-220(A) - ENTR. GO-220(B),Pavimentada,184EGO0250
4803,ENTR. BR-364 - ENTR. GO-220 (PEROLANDIA),Pavimentada,516EGO0010
4804,ENTR. GO-516 (PEROLANDIA) - ENTR. GO-341,Leito Natural,220EGO0110
4805,ENTR BR-060(B)/158(B)/GO-184(B) (P/ESTREITO) - ENTR GO-050(B),Pavimentada,364BGO0510
4806,ENTR BR-060(A)/364(A) - ENTR BR-364(B),Duplicada,158BGO0390
4807,ENTR. BR-158(B) - ENTR. GO-516 (PEROLANDIA),Em obras de pavimentação,220EGO0090
4808,ENTR GO-050(B) - ENTR GO-516 (P/PEROLÂNDIA),Pavimentada,364BGO0530
4809,ENTR. BR-364(B) - ENTR. GO-306,Em obras de pavimentação,050EGO0390
